model_family,model_key,mode,feature_bundle,repeat,fold,n_train,n_val,decision_threshold,accuracy,open_precision,open_recall,open_f1,closed_precision,closed_recall,closed_f1,pr_auc_closed
LogisticRegression,lr,single,low_plus_medium,3,1,2465,617,0.5,0.593192868719611,0.9426934097421203,0.5875,0.7238723872387238,0.13805970149253732,0.6491228070175439,0.2276923076923077,0.1621841413354403
LogisticRegression,lr,two-stage,low_plus_medium,3,1,2465,617,0.5,0.6547811993517018,0.9392405063291139,0.6625,0.7769633507853403,0.14864864864864866,0.5789473684210527,0.23655913978494625,0.1425081481117566
LightGBM,lightgbm,single,low_plus_medium,3,1,2465,617,0.5,0.880064829821718,0.9077181208053692,0.9660714285714286,0.9359861591695502,0.09523809523809523,0.03508771929824561,0.05128205128205128,0.14380288288058563
LightGBM,lightgbm,two-stage,low_plus_medium,3,1,2465,617,0.5,0.8914100486223663,0.9087893864013267,0.9785714285714285,0.942390369733448,0.14285714285714285,0.03508771929824561,0.056338028169014086,0.1154580990334159
RandomForest,rf,single,low_plus_medium,3,1,2465,617,0.5,0.873581847649919,0.9057239057239057,0.9607142857142857,0.9324090121317158,0.043478260869565216,0.017543859649122806,0.025,0.1248622273355151
XGBoost,xgboost,single,low_plus_medium,3,1,2465,617,0.5,0.8849270664505673,0.9081803005008348,0.9714285714285714,0.9387402933563417,0.1111111111111111,0.03508771929824561,0.05333333333333334,0.1340879804610397
XGBoost,xgboost,two-stage,low_plus_medium,3,1,2465,617,0.5,0.8914100486223663,0.9074380165289256,0.9803571428571428,0.9424892703862661,0.08333333333333333,0.017543859649122806,0.028985507246376812,0.1044351969216043
LogisticRegression,lr,single,low_plus_medium,3,2,2465,617,0.5,0.5850891410048622,0.9175824175824175,0.5964285714285714,0.7229437229437229,0.1067193675889328,0.47368421052631576,0.17419354838709677,0.12746831527320962
LogisticRegression,lr,two-stage,low_plus_medium,3,2,2465,617,0.5,0.6499189627228525,0.9236453201970444,0.6696428571428571,0.7763975155279503,0.12322274881516587,0.45614035087719296,0.19402985074626866,0.11733843559504978
LightGBM,lightgbm,single,low_plus_medium,3,2,2465,617,0.5,0.8606158833063209,0.9058219178082192,0.9446428571428571,0.9248251748251748,0.06060606060606061,0.03508771929824561,0.044444444444444446,0.12576448126750217
LightGBM,lightgbm,two-stage,low_plus_medium,3,2,2465,617,0.5,0.8784440842787682,0.907563025210084,0.9642857142857143,0.935064935064935,0.09090909090909091,0.03508771929824561,0.05063291139240506,0.08364371616249168
RandomForest,rf,single,low_plus_medium,3,2,2465,617,0.5,0.8606158833063209,0.9072164948453608,0.9428571428571428,0.9246935201401051,0.08571428571428572,0.05263157894736842,0.06521739130434782,0.10524141650125632
XGBoost,xgboost,single,low_plus_medium,3,2,2465,617,0.5,0.8687196110210696,0.9052453468697124,0.9553571428571429,0.9296264118158123,0.038461538461538464,0.017543859649122806,0.024096385542168676,0.11493918689758875
