repeat,fold,n_features,accuracy,open_precision,open_recall,open_f1,closed_precision,closed_recall,closed_f1,pr_auc_closed,model_key,mode,gate_type,selected_trial,feature_bundle,variant
2,3,19,0.8961038961038961,0.9175084175084175,0.9732142857142857,0.9445407279029463,0.3181818181818182,0.125,0.1794871794871795,0.17139076701023453,lr,two-stage,diagnostic,37,v2_lr2,minus_completeness_contact
2,4,19,0.8701298701298701,0.9152249134948097,0.9446428571428571,0.929701230228471,0.18421052631578946,0.125,0.14893617021276595,0.17386032506941318,lr,two-stage,diagnostic,37,v2_lr2,minus_completeness_contact
2,5,19,0.887987012987013,0.9153976311336718,0.9660714285714286,0.9400521285838401,0.24,0.10714285714285714,0.14814814814814814,0.14203442632606317,lr,two-stage,diagnostic,37,v2_lr2,minus_completeness_contact
1,1,33,0.8816855753646677,0.924956369982548,0.9464285714285714,0.9355692850838482,0.3181818181818182,0.24561403508771928,0.27722772277227725,0.2185350561600049,lr,two-stage,diagnostic,37,v2_lr2,minus_interactions
1,2,33,0.8752025931928687,0.9185441941074524,0.9464285714285714,0.9322779243623571,0.25,0.17543859649122806,0.20618556701030927,0.18587662062023652,lr,two-stage,diagnostic,37,v2_lr2,minus_interactions
1,3,33,0.8814935064935064,0.9205526770293609,0.9517857142857142,0.935908691834943,0.2702702702702703,0.17857142857142858,0.21505376344086022,0.18532535340985917,lr,two-stage,diagnostic,37,v2_lr2,minus_interactions
1,4,33,0.8652597402597403,0.9191564147627417,0.9339285714285714,0.9264836138175376,0.2127659574468085,0.17857142857142858,0.1941747572815534,0.1711565170257262,lr,two-stage,diagnostic,37,v2_lr2,minus_interactions
1,5,33,0.8652597402597403,0.9176882661996497,0.9357142857142857,0.9266136162687887,0.2,0.16071428571428573,0.1782178217821782,0.1656746120674609,lr,two-stage,diagnostic,37,v2_lr2,minus_interactions
2,1,33,0.8622366288492707,0.9144851657940664,0.9357142857142857,0.9249779346866726,0.18181818181818182,0.14035087719298245,0.15841584158415842,0.13346134622576553,lr,two-stage,diagnostic,37,v2_lr2,minus_interactions
2,2,33,0.880064829821718,0.9175257731958762,0.9535714285714286,0.9352014010507881,0.2571428571428571,0.15789473684210525,0.1956521739130435,0.18100297107569588,lr,two-stage,diagnostic,37,v2_lr2,minus_interactions
